team_lineage_id,division_id,division_label,normalized_team_name,representative_team_name,season_count
d2_sundays:01lakers,d2_sundays,D2 Sundays,01lakers,01Lakers,1
d2_sundays:50-shades-of-klay,d2_sundays,D2 Sundays,50-shades-of-klay,50 Shades of Klay,6
d2_sundays:80-eighters,d2_sundays,D2 Sundays,80-eighters,80′ Eighters,1
d2_sundays:amdanga,d2_sundays,D2 Sundays,amdanga,AMDanga,1
d2_sundays:all-apac,d2_sundays,D2 Sundays,all-apac,All APAC,1
d2_sundays:all-smoke,d2_sundays,D2 Sundays,all-smoke,All Smoke,1
d2_sundays:arc-angels,d2_sundays,D2 Sundays,arc-angels,Arc Angels,2
d2_sundays:asian-power,d2_sundays,D2 Sundays,asian-power,Asian Power,1
d2_sundays:bing-bong,d2_sundays,D2 Sundays,bing-bong,BING BONG,1
d2_sundays:bta,d2_sundays,D2 Sundays,bta,BTA,1
d2_sundays:burrrcats,d2_sundays,D2 Sundays,burrrcats,BURRRcats,9
d2_sundays:big-baller-boyz,d2_sundays,D2 Sundays,big-baller-boyz,Big Baller Boyz,1
d2_sundays:big-bullies,d2_sundays,D2 Sundays,big-bullies,Big Bullies,7
d2_sundays:big-song-lil-wong,d2_sundays,D2 Sundays,big-song-lil-wong,Big Song Lil Wong,3
d2_sundays:bomb-squad,d2_sundays,D2 Sundays,bomb-squad,Bomb Squad,4
d2_sundays:brick-squad,d2_sundays,D2 Sundays,brick-squad,Brick Squad,4
d2_sundays:brotherhood-w-o-banners,d2_sundays,D2 Sundays,brotherhood-w-o-banners,Brotherhood w/o Banners,1
d2_sundays:buck-clan,d2_sundays,D2 Sundays,buck-clan,Buck$ Clan,1
d2_sundays:bucketboys,d2_sundays,D2 Sundays,bucketboys,BucketBoys,1
d2_sundays:ctrl-alt-del,d2_sundays,D2 Sundays,ctrl-alt-del,CTRL ALT DEL,1
d2_sundays:demon-buddies,d2_sundays,D2 Sundays,demon-buddies,Demon Buddies,1
d2_sundays:dream,d2_sundays,D2 Sundays,dream,Dream,1
d2_sundays:easy-street,d2_sundays,D2 Sundays,easy-street,Easy Street,2
d2_sundays:fun-guys,d2_sundays,D2 Sundays,fun-guys,Fun Guys,1
d2_sundays:gilet-jaunes,d2_sundays,D2 Sundays,gilet-jaunes,Gilet Jaunes,2
d2_sundays:gotham-select,d2_sundays,D2 Sundays,gotham-select,Gotham Select,7
d2_sundays:grand-theft-rondo,d2_sundays,D2 Sundays,grand-theft-rondo,Grand Theft Rondo,2
d2_sundays:greek-freaks-geeks,d2_sundays,D2 Sundays,greek-freaks-geeks,Greek Freaks & Geeks,1
d2_sundays:hoop-prophets,d2_sundays,D2 Sundays,hoop-prophets,Hoop Prophets,9
d2_sundays:hoya-redemption,d2_sundays,D2 Sundays,hoya-redemption,Hoya Redemption,1
d2_sundays:ice-in-my-veins,d2_sundays,D2 Sundays,ice-in-my-veins,Ice In My Veins,1
d2_sundays:infinite-potential,d2_sundays,D2 Sundays,infinite-potential,Infinite Potential,3
d2_sundays:injustice-league,d2_sundays,D2 Sundays,injustice-league,Injustice League,1
d2_sundays:jp-casuals,d2_sundays,D2 Sundays,jp-casuals,JP Casuals,2
d2_sundays:joyful-occasions,d2_sundays,D2 Sundays,joyful-occasions,Joyful Occasions,2
d2_sundays:just-hoopers,d2_sundays,D2 Sundays,just-hoopers,Just Hoopers,2
d2_sundays:kawhi-me-a-river,d2_sundays,D2 Sundays,kawhi-me-a-river,Kawhi Me A River,1
d2_sundays:layups-only,d2_sundays,D2 Sundays,layups-only,Layups Only,1
d2_sundays:light-work,d2_sundays,D2 Sundays,light-work,Light Work,1
d2_sundays:long-twos,d2_sundays,D2 Sundays,long-twos,Long Twos,3
d2_sundays:lunch-pail-guys,d2_sundays,D2 Sundays,lunch-pail-guys,Lunch Pail Guys,1
d2_sundays:make-it-reign-man,d2_sundays,D2 Sundays,make-it-reign-man,Make It Reign Man,2
d2_sundays:manhattan-elite,d2_sundays,D2 Sundays,manhattan-elite,Manhattan Elite,2
d2_sundays:missandei-s-melons,d2_sundays,D2 Sundays,missandei-s-melons,Missandei’s Melons,1
d2_sundays:mobadanga,d2_sundays,D2 Sundays,mobadanga,Mobadanga,4
d2_sundays:ny-falcons-u,d2_sundays,D2 Sundays,ny-falcons-u,NY Falcons U.,4
d2_sundays:ny-rockits,d2_sundays,D2 Sundays,ny-rockits,NY Rockits,3
d2_sundays:nyc-gritty-committee,d2_sundays,D2 Sundays,nyc-gritty-committee,NYC Gritty Committee,3
d2_sundays:nyc-hustlers,d2_sundays,D2 Sundays,nyc-hustlers,NYC Hustlers,2
d2_sundays:no-fly-zone,d2_sundays,D2 Sundays,no-fly-zone,No Fly Zone,4
d2_sundays:out-of-retirement,d2_sundays,D2 Sundays,out-of-retirement,Out of Retirement,1
d2_sundays:petty-gang,d2_sundays,D2 Sundays,petty-gang,Petty Gang,5
d2_sundays:queens-park,d2_sundays,D2 Sundays,queens-park,Queens Park,1
d2_sundays:raining-rosebuds,d2_sundays,D2 Sundays,raining-rosebuds,Raining Rosebuds,9
d2_sundays:rat-la-familia,d2_sundays,D2 Sundays,rat-la-familia,Rat La Familia,3
d2_sundays:reservoir-dogs,d2_sundays,D2 Sundays,reservoir-dogs,Reservoir Dogs,2
d2_sundays:rush-hour,d2_sundays,D2 Sundays,rush-hour,Rush Hour,5
d2_sundays:s-panthers,d2_sundays,D2 Sundays,s-panthers,S. Panthers,1
d2_sundays:ssd-elite,d2_sundays,D2 Sundays,ssd-elite,SSD Elite,1
d2_sundays:shawn-kemp-s-kids,d2_sundays,D2 Sundays,shawn-kemp-s-kids,Shawn Kemp’s Kids,1
